TABLE_NAME	TABLE_ROWS
admin_logs	73
admins	9
asset_templates	5
building_images	16
buildings	8
cache	0
cache_locks	0
chat_conversations	0
chat_messages	0
contract_deposit_transactions	50
contract_tenants	53
contract_vehicles	32
contracts	41
expense_categories	4
expenses	19
failed_jobs	20
fire_safety_alerts	2
invoice_items	231
invoice_reminder_logs	0
invoices	33
job_batches	0
jobs	0
maintenance_feedbacks	0
maintenance_request_logs	17
maintenance_requests	14
meter_devices	133
meter_readings	128
migrations	23
notification_reads	44
notifications	36
password_reset_tokens	0
payments	22
personal_access_tokens	0
regions	6
room_assets	218
room_images	132
room_movements	2
room_types	3
rooms	66
security_cameras	1
service_prices	67
services	0
settings	0
tenants	0
users	0
vehicles	0
